timestamp,accel,HR,o2%
0000000,0.997619,088,097
0000007,0.997619,088,097
0000013,0.990986,088,097
0000023,1.008333,088,097
0000033,0.988095,088,097
0000043,0.996599,088,097
0000053,1.023639,088,097
0000063,0.994728,088,097
0000073,1.006973,088,097
0000083,1.010544,088,097
0000093,0.992177,088,097
0000103,1.011224,088,097
0000113,1.029762,088,097
0000123,1.030612,088,097
0000133,1.015816,088,097
0000143,1.013095,088,097
0000153,0.995578,088,097
0000163,0.978231,088,097
0000173,1.004932,088,097
0000183,1.016837,088,097
0000193,1.001701,088,097
0000203,1.004762,088,097
0000213,1.014286,088,097
0000223,1.012755,088,097
0000233,1.023810,088,097
0000244,0.996429,088,097
0000253,1.012245,088,097
0000263,1.010884,088,097
0000273,1.002551,088,097
0000283,1.033503,088,097
0000293,1.031803,088,097
0000303,1.016156,088,097
0000313,1.021088,088,097
0000323,1.014116,088,097
0000333,1.000850,088,097
0000343,1.000850,088,097
0000353,1.018027,088,097
0000363,0.993367,088,097
0000373,1.022619,088,097
0000383,1.012245,088,097
0000393,1.023469,088,097
0000403,1.015816,088,097
0000413,0.991497,088,097
0000424,0.989456,088,097
0000433,0.991156,088,097
0000443,0.983844,088,097
0000453,1.058843,088,097
0000463,1.016667,088,097
0000474,1.005612,088,097
0000483,1.037245,088,097
0000493,1.011054,088,097
0000503,0.997789,088,097
0000513,0.999320,088,097
0000523,1.010204,088,097
0000533,1.024150,088,097
0000544,1.008333,088,097
0000553,0.992347,088,097
0000563,1.003571,088,097
0000573,1.002891,088,097
0000583,0.984184,088,097
0000594,0.996599,088,097
0000603,1.044218,088,097
0000613,1.044048,088,097
0000623,1.036905,088,097
0000633,0.975340,088,097
0000643,1.003231,088,097
0000653,0.990816,088,097
0000663,1.002551,088,097
0000673,1.009354,088,097
0000683,1.004082,088,097
0000693,1.010204,088,097
0000703,1.030612,088,097
0000713,1.004422,088,097
0000723,1.012415,088,097
0000733,1.013775,088,097
0000743,1.006463,088,097
0000753,1.029932,088,097
0000763,1.005102,088,097
0000773,1.002721,088,097
0000784,1.004932,088,097
0000793,1.008844,088,097
0000803,1.023639,088,097
0000813,1.001871,088,097
0000823,1.007483,088,097
0000833,1.005612,088,097
0000844,1.013435,088,097
0000853,1.000680,088,097
0000863,1.001701,088,097
0000873,1.020918,088,097
0000883,0.997619,088,097
0000893,1.007823,088,097
0000903,0.997109,088,097
0000913,1.015476,088,097
0000924,1.002381,088,097
0000933,1.002041,088,097
0000943,1.001531,088,097
0000953,1.000340,088,097
0000963,0.993027,088,097
0000973,1.008673,088,097
0000983,1.014626,088,097
0000993,1.013775,088,097
0001003,1.029422,088,097
0001013,1.029422,088,097
0001023,1.029422,088,097
0001033,1.025850,090,097
0001043,1.021769,090,097
0001054,1.006463,090,097
0001063,1.004252,090,097
0001073,1.013946,090,097
0001083,1.006463,090,097
0001093,0.996769,090,097
0001103,1.006463,090,097
0001113,1.017177,090,097
0001123,1.009354,090,097
0001133,1.018708,090,097
0001143,1.016497,090,097
0001153,1.012075,090,097
0001163,1.038435,090,097
0001173,1.021599,090,097
0001183,0.995748,090,097
0001193,1.024490,090,097
0001203,1.021428,090,097
0001213,1.024490,090,097
0001223,1.012245,090,097
0001233,0.997109,090,097
0001243,1.007823,090,097
0001253,1.025680,090,097
0001263,1.011054,090,097
0001273,1.002891,090,097
0001283,1.005102,090,097
0001293,0.998299,090,097
0001304,0.993537,090,097
0001314,0.997959,090,097
0001323,1.015816,090,097
0001333,1.003061,090,097
0001343,0.993878,090,097
0001353,0.990986,090,097
0001363,1.006633,090,097
0001374,1.018367,090,097
0001383,1.008503,090,097
0001393,0.997619,090,097
0001403,1.019898,090,097
0001413,0.991327,090,097
0001423,1.004932,090,097
0001433,1.014796,090,097
0001443,0.991156,090,097
0001453,0.993878,090,097
0001463,0.997789,090,097
0001473,1.012925,090,097
0001483,1.001871,090,097
0001493,1.000340,090,097
0001503,1.021599,090,097
0001513,1.009694,090,097
0001523,1.011735,090,097
0001533,1.020238,090,097
0001543,1.008503,090,097
0001553,1.000510,090,097
0001563,1.006803,090,097
0001573,0.996088,090,097
0001583,0.998469,090,097
0001593,1.005612,090,097
0001603,1.003742,090,097
0001613,1.004592,090,097
0001623,0.987415,090,097
0001633,1.013946,090,097
0001643,1.013605,090,097
0001653,0.998299,090,097
0001663,0.991497,090,097
0001673,1.011224,090,097
0001683,0.996599,090,097
0001693,0.990476,090,097
0001703,1.014286,090,097
0001713,1.003742,090,097
0001723,1.001361,090,097
0001733,1.009354,090,097
0001743,1.033844,090,097
0001753,1.006463,090,097
0001764,1.011565,090,097
0001773,1.010884,090,097
0001783,1.005102,090,097
0001793,0.996599,090,097
0001803,1.026701,090,097
0001813,1.003742,090,097
0001823,1.013435,090,097
0001833,1.011735,090,097
0001843,0.995748,090,097
0001854,1.007143,090,097
0001863,0.992177,090,097
0001873,0.997619,090,097
0001883,1.002041,090,097
0001893,1.000680,090,097
0001903,1.003061,090,097
0001913,1.004082,090,097
0001923,1.011224,090,097
0001933,1.010034,090,097
0001943,1.017687,090,097
0001954,1.001871,090,097
0001963,0.988946,090,097
0001973,0.994388,090,097
0001983,1.009864,090,097
0001993,0.992687,090,097
0002003,1.005102,090,097
0002013,1.001190,090,097
0002023,1.025680,090,097
0002033,1.029082,090,097
0002043,1.029082,090,097
0002053,1.012925,090,097
0002063,0.977381,090,097
0002073,1.004422,090,097
0002083,1.018367,090,097
0002093,1.012415,090,097
0002103,1.000340,090,097
0002113,1.018197,090,097
0002123,1.014966,090,097
0002133,1.015306,090,097
0002143,1.004932,090,097
0002153,0.985884,090,097
0002163,0.998639,090,097
0002173,0.999490,090,097
0002183,1.012075,090,097
0002193,0.996769,090,097
0002203,1.007823,090,097
0002213,1.006973,090,097
0002223,0.997279,090,097
0002233,1.005782,090,097
0002243,0.997789,090,097
0002253,1.015816,090,097
0002263,1.032143,090,097
0002273,1.006973,090,097
0002283,1.017687,090,097
0002293,1.015646,090,097
0002303,1.006122,090,097
0002313,0.999490,090,097
0002323,1.011224,090,097
0002333,1.005272,090,097
0002343,1.003061,090,097
0002353,1.010714,090,097
0002363,1.015136,090,097
0002373,1.020068,090,097
0002384,1.026361,090,097
0002393,0.993367,090,097
0002403,1.002211,090,097
0002413,1.013775,090,097
0002423,1.006973,090,097
0002433,1.014456,090,097
0002443,1.015136,090,097
0002453,0.997619,090,097
0002464,1.005442,090,097
0002473,1.003061,090,097
0002483,0.989966,090,097
0002493,1.006633,090,097
0002503,1.005612,090,097
0002513,1.009354,090,097
0002523,1.013095,090,097
0002533,0.973639,090,097
0002543,0.986735,090,097
0002553,1.000000,090,097
0002563,1.007313,090,097
0002573,1.024660,090,097
0002583,1.020918,090,097
0002594,1.020918,090,097
0002603,1.011395,090,097
0002613,1.021769,090,097
0002623,1.011735,090,097
0002633,1.005102,090,097
0002643,1.004762,090,097
0002653,1.013775,090,097
0002663,1.000170,090,097
0002673,0.994558,090,097
0002683,1.018708,090,097
0002693,0.998809,090,097
0002703,1.018708,090,097
0002714,1.014626,090,097
0002723,1.014626,090,097
0002733,0.989796,090,097
0002743,0.996939,090,097
0002753,0.992857,090,097
0002763,1.000680,090,097
0002773,1.001190,090,097
0002783,0.994048,090,097
0002793,1.011735,090,097
0002803,1.017177,090,097
0002813,0.999660,090,097
0002823,0.984864,090,097
0002833,1.005102,090,097
0002843,1.022279,090,097
0002853,0.989116,090,097
0002863,1.004762,090,097
0002873,0.984864,090,097
0002883,1.000000,090,097
0002893,0.995748,090,097
0002903,1.011054,090,097
0002913,0.993367,090,097
0002923,0.978571,090,097
0002934,0.989626,090,097
0002943,0.985884,090,097
0002953,1.002381,090,097
0002963,0.986054,090,097
0002973,0.995918,090,097
0002983,1.007143,090,097
0002993,1.009184,090,097
0003003,1.012245,090,097
0003013,1.005272,090,097
0003023,1.002381,090,097
0003034,0.997449,090,097
0003043,1.016156,090,097
0003053,0.998469,090,097
0003063,0.998469,090,097
0003073,1.005272,090,097
0003083,0.995748,090,097
0003093,1.000850,090,097
0003103,1.011224,090,097
0003113,1.025680,090,097
0003123,0.997789,090,097
0003134,0.983674,090,097
0003143,1.007483,090,097
0003153,1.014456,090,097
0003163,1.009864,090,097
0003173,1.014286,090,097
0003183,1.008844,090,097
0003193,0.989626,090,097
0003203,1.010544,090,097
0003213,0.992177,090,097
0003223,0.995918,090,097
0003233,0.985714,090,097
0003243,0.991837,090,097
0003253,1.009184,090,097
0003263,0.996939,090,097
0003273,1.024320,090,097
0003284,1.016326,090,097
0003293,1.006973,090,097
0003303,1.012755,090,097
0003313,0.993197,090,097
0003323,1.002381,090,097
0003333,1.005272,090,097
0003343,0.993707,090,097
0003353,0.988605,090,097
0003363,1.006292,090,097
0003373,1.017007,090,097
0003383,1.022789,090,097
0003394,1.005952,090,097
0003403,1.017517,090,097
0003413,1.001361,090,097
0003423,1.014456,090,097
0003433,0.996599,090,097
0003443,1.023469,090,097
0003453,1.026701,090,097
0003463,1.006292,090,097
0003473,1.025850,090,097
0003483,1.017687,090,097
0003493,1.007653,090,097
0003503,1.009184,090,097
0003513,1.005612,090,097
0003523,1.015816,090,097
0003533,1.004082,090,097
0003543,1.026191,090,097
0003553,1.011054,090,097
0003563,0.993878,090,097
0003573,0.999150,090,097
0003583,1.010544,090,097
0003593,1.011905,090,097
0003603,1.006463,090,097
0003613,0.994558,090,097
0003624,1.010884,090,097
0003633,1.011905,090,097
0003643,0.993537,090,097
0003653,1.017347,090,097
0003663,1.004762,090,097
0003673,1.022279,090,097
0003683,1.015476,090,097
0003693,1.003911,090,097
0003703,0.997109,090,097
0003713,1.015646,090,097
0003723,1.019388,090,097
0003733,1.004252,090,097
0003743,1.008673,090,097
0003753,1.021599,090,097
0003763,1.009184,090,097
0003773,1.010034,090,097
0003783,1.000170,090,097
0003793,0.994218,090,097
0003804,1.010374,090,097
0003813,1.011054,090,097
0003823,1.021599,090,097
0003833,0.991327,090,097
0003843,0.992857,090,097
0003853,1.018197,090,097
0003863,1.005952,090,097
0003873,1.019218,090,097
0003883,1.004592,090,097
0003893,1.014966,090,097
0003903,1.013265,090,097
0003913,1.015476,090,097
0003923,1.021599,090,097
0003933,1.006633,090,097
0003943,1.012925,090,097
0003953,1.013435,090,097
0003963,0.996088,090,097
0003974,1.017687,090,097
0003983,1.020068,090,097
0003993,1.010374,090,097
0004003,0.992007,090,097
0004013,0.988776,090,097
0004023,0.995918,090,097
0004033,1.004082,090,097
0004043,1.018537,090,097
0004053,0.997619,090,097
0004063,1.005102,090,097
0004073,1.001020,090,097
0004083,1.001020,090,097
0004093,0.985204,000,097
0004104,0.998639,000,097
0004113,1.018027,000,097
0004123,0.998639,000,097
0004133,0.997109,000,097
0004143,0.995408,000,097
0004153,1.016667,000,097
0004163,1.015306,000,097
0004173,1.029762,000,097
0004183,1.001531,000,097
0004193,0.996939,000,097
0004203,1.003401,000,097
0004213,1.012585,000,097
0004223,0.993197,000,097
0004233,1.021428,000,097
0004243,0.988776,000,097
0004253,0.978061,000,097
0004263,1.004252,000,097
0004273,0.998129,000,097
0004283,1.011735,000,097
0004293,1.018367,000,097
0004303,1.023810,000,097
0004313,1.005442,000,097
0004323,0.990986,000,097
0004333,1.026361,000,097
0004343,0.989286,000,097
0004353,1.002721,000,097
0004363,1.014116,000,097
0004373,1.021599,000,097
0004383,1.006122,000,097
0004393,1.025850,000,097
0004403,1.027381,000,097
0004413,1.008673,000,097
0004423,1.020408,000,097
0004433,1.018708,000,097
0004443,1.009524,000,097
0004453,1.006633,000,097
0004463,0.992687,000,097
0004473,1.001531,000,097
0004483,1.020748,000,097
0004493,1.007823,000,097
0004503,1.001871,000,097
0004513,1.029592,000,097
0004523,1.013946,000,097
0004533,0.988776,000,097
0004543,1.016497,000,097
0004553,0.994388,000,097
0004563,1.014286,000,097
0004573,1.025680,000,097
0004583,1.001020,000,097
0004593,1.013605,000,097
0004603,1.031973,000,097
0004613,0.994218,000,097
0004623,0.993197,000,097
0004633,0.998129,000,097
0004643,0.985374,000,097
0004653,0.968197,000,097
0004663,1.008503,000,097
0004673,1.025510,000,097
0004683,0.999150,000,097
0004693,0.989966,000,097
0004703,1.023129,000,097
0004713,1.018367,000,097
0004723,1.013435,000,097
0004733,1.017177,000,097
0004743,0.988435,000,097
0004753,1.005442,000,097
0004764,1.017347,000,097
0004773,1.016497,000,097
0004783,0.996599,000,097
0004793,1.009694,000,097
0004803,1.013095,000,097
0004813,1.009014,000,097
0004823,0.994558,000,097
0004833,1.008503,000,097
0004844,1.011395,000,097
0004853,1.019048,000,097
0004863,1.026701,000,097
0004873,1.027721,000,097
0004884,1.013265,000,097
0004893,1.006463,000,097
0004903,0.978061,000,097
0004913,1.006122,000,097
0004923,1.007483,000,097
0004933,1.014796,000,097
0004943,1.015646,000,097
0004953,1.001020,000,097
0004963,1.002551,000,097
0004973,1.018537,000,097
0004983,0.994898,000,097
0004993,0.996599,000,097
0005003,1.013265,000,097
0005013,1.020238,000,097
0005023,1.010204,000,097
0005033,0.999320,000,097
0005043,0.990476,000,097
0005053,1.001531,000,097
0005063,1.002891,000,097
0005073,1.017517,000,097
0005083,1.004082,000,097
0005093,0.987075,000,097
0005103,0.987075,000,097
0005113,0.996258,000,097
0005123,1.015136,000,097
0005134,0.999830,000,097
0005143,1.016837,000,097
0005153,1.021939,000,097
0005163,1.006633,000,097
0005173,1.016156,000,097
0005183,1.010034,000,097
0005193,0.998980,000,097
0005203,0.986905,000,097
0005213,0.995578,000,097
0005223,0.995578,000,097
0005233,1.013095,000,097
0005243,1.009184,000,097
0005253,0.995918,000,097
0005264,1.021258,000,097
0005273,0.997279,000,097
0005283,1.023129,000,097
0005293,1.004252,000,097
0005303,1.006292,000,097
0005313,1.029252,000,097
0005323,1.019558,000,097
0005334,1.025170,000,097
0005343,1.034694,000,097
0005353,1.036565,000,097
0005363,1.015306,000,097
0005373,1.018027,000,097
0005383,1.006803,000,097
0005393,1.011395,000,097
0005403,1.003742,000,097
0005413,1.010884,000,097
0005423,1.007653,000,097
0005433,1.005952,000,097
0005443,1.014456,000,097
0005453,0.989796,000,097
0005463,0.997959,000,097
0005473,1.005952,000,097
0005483,1.026361,000,097
0005493,1.028912,000,097
0005503,1.009694,000,097
0005513,1.011565,000,097
0005523,0.995068,000,097
0005533,0.990306,000,097
0005543,1.018537,000,097
0005553,1.004762,000,097
0005563,0.987245,000,097
0005573,1.004252,000,097
0005583,1.015816,000,097
0005593,1.012755,000,097
0005603,1.022449,000,097
0005613,1.003742,000,097
0005623,1.019558,000,097
0005633,0.989456,000,097
0005643,0.989456,000,097
0005653,1.013775,000,097
0005663,0.986054,000,097
0005673,1.011395,000,097
0005683,0.991156,000,097
0005693,1.010714,000,097
0005703,1.012755,000,097
0005713,1.023129,000,097
0005723,1.005782,000,097
0005733,0.994388,000,097
0005743,1.002381,000,097
0005753,1.001361,000,097
0005763,0.996088,000,097
0005773,1.005272,000,097
0005783,1.002551,000,097
0005793,0.995238,000,097
0005803,1.001361,000,097
0005813,1.005102,000,097
0005823,1.003401,000,097
0005833,1.032313,000,097
0005843,1.030272,000,097
0005853,1.000850,000,097
0005863,1.007823,000,097
0005873,1.029082,000,097
0005883,1.008163,000,097
0005893,1.020068,000,097
0005903,1.003571,000,097
0005913,1.008163,000,097
0005923,1.009184,000,097
0005933,1.019218,000,097
0005943,1.005272,000,097
0005953,1.007483,000,097
0005963,0.990306,000,097
0005974,1.001701,000,097
0005983,1.010034,000,097
0005993,0.989966,000,097
0006003,1.013605,000,097
0006013,1.028401,000,097
0006023,1.006633,000,097
0006033,1.017177,000,097
0006043,1.000680,000,097
0006053,1.018027,000,097
0006063,1.034864,000,097
0006073,1.005102,000,097
0006083,0.986054,000,097
0006093,0.992687,000,097
0006103,0.989286,000,097
0006113,0.997279,000,097
0006123,0.997279,000,097
0006133,0.997279,093,096
0006143,1.005442,093,096
0006153,1.025680,093,096
0006163,1.012415,093,096
0006173,1.003742,093,096
0006183,1.002551,093,096
0006193,1.012075,093,096
0006203,1.013946,093,096
0006213,1.000340,093,096
0006223,0.992857,093,096
0006233,0.997619,093,096
0006243,0.998809,093,096
0006253,1.016837,093,096
0006263,1.026020,093,096
0006273,1.013435,093,096
0006283,1.007653,093,096
0006293,1.007653,093,096
0006303,1.015476,093,096
0006313,0.992517,093,096
0006323,1.018197,093,096
0006333,0.999830,093,096
0006343,1.009694,093,096
0006353,0.990986,093,096
0006363,1.014456,093,096
0006373,1.011565,093,096
0006383,1.023299,093,096
0006393,1.017687,093,096
0006404,1.004762,093,096
0006413,1.023469,093,096
0006423,1.021428,093,096
0006433,1.021258,093,096
0006443,1.032823,093,096
0006453,1.005952,093,096
0006463,0.991327,093,096
0006473,1.005102,093,096
0006483,1.012415,093,096
0006493,1.013775,093,096
0006503,1.012415,093,096
0006513,0.982993,093,096
0006524,0.992687,093,096
0006533,1.021769,093,096
0006543,1.003571,093,096
0006553,1.005952,093,096
0006563,1.021599,093,096
0006573,1.025340,093,096
0006583,1.001871,093,096
0006593,0.989456,093,096
0006603,1.004762,093,096
0006613,1.000170,093,096
0006623,1.019048,093,096
0006634,1.036054,093,096
0006643,0.996088,093,096
0006653,0.998809,093,096
0006664,0.989116,093,096
0006673,0.985204,093,096
0006683,0.980102,093,096
0006693,1.006122,093,096
0006703,0.994558,093,096
0006713,0.992007,093,096
0006723,0.991327,093,096
0006733,1.004252,093,096
0006743,1.026531,093,096
0006753,1.031803,093,096
0006763,1.019898,093,096
0006773,1.019728,093,096
0006783,0.977891,093,096
0006793,0.997449,093,096
0006803,1.020408,093,096
0006813,1.027721,093,096
0006823,1.001020,093,096
0006833,1.003401,093,096
0006843,0.996939,093,096
0006853,0.980102,093,096
0006864,1.005272,093,096
0006873,1.010884,093,096
0006883,1.009694,093,096
0006893,1.030952,093,096
0006903,0.993027,093,096
0006913,0.964626,093,096
0006923,0.993878,093,096
0006934,1.012245,093,096
0006943,0.987415,093,096
0006953,1.004762,093,096
0006963,1.023810,093,096
0006973,1.001531,093,096
0006983,0.996939,093,096
0006993,0.989116,093,096
0007003,1.005612,093,096
0007013,1.005102,093,096
0007023,0.994388,093,096
0007033,0.999830,093,096
0007043,1.007313,093,096
0007053,1.008673,093,096
0007064,1.008503,093,096
0007073,1.015816,093,096
0007083,0.993878,093,096
0007093,0.991667,093,096
0007103,1.015306,093,096
0007113,1.018367,093,096
0007123,1.004252,093,096
0007133,0.988265,093,096
0007143,0.988265,093,096
0007153,0.988265,093,096
0007163,1.002551,093,095
0007173,1.004932,093,095
0007183,1.009694,093,095
0007193,1.010204,093,095
0007203,1.001361,093,095
0007213,1.006633,093,095
0007223,0.995238,093,095
0007233,1.005442,093,095
0007243,1.003911,093,095
0007253,0.995408,093,095
0007263,1.009014,093,095
0007273,1.034524,093,095
0007283,1.005952,093,095
0007293,0.992347,093,095
0007303,1.007653,093,095
0007313,1.015136,093,095
0007323,1.006463,093,095
0007333,1.018708,093,095
0007343,1.008333,093,095
0007353,1.007993,093,095
0007363,0.992177,093,095
0007373,0.995408,093,095
